MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
316014621,2024-01-01T00:00:05,49.28679,-123.10917,0,169.6,241,BURRARD PACIFIC BREE,IMO9585003,CFK9036,60,0,34,12,2.8,60,A
338205553,2024-01-01T00:00:19,47.79602,-122.4992,0,0,511,KITSAP MARINE 81,,Mar-81,51,0,0,0,0.8,51,A
367365210,2024-01-01T00:00:04,30.31156,-91.22659,0.1,292.5,511,ALFRED P CENAC III,IMO0000101,WDE5335,52,0,87,16,2,52,A
367640910,2024-01-01T00:00:44,29.23582,-90.211,0,293.2,202,MASON G,IMO1256064,WDH6713,40,0,42,12,2,40,A
366748250,2024-01-01T00:00:01,29.89585,-89.99409,0.1,116.5,511,HELEN,IMO106484600,WCY3321,52,0,15,13,2.5,52,A
367733320,2024-01-01T00:00:46,30.07538,-94.08355,0,110.8,191,FLORIDA,IMO9031179,WDI7898,52,5,25,10,4,52,A
367624350,2024-01-01T00:00:38,29.06565,-90.17201,0,360,511,STINGRAY,IMO7942764,WDH5083,70,1,22,12,0,70,A
338093777,2024-01-01T00:01:09,33.74052,-118.27843,0.1,89.9,511,LA FIREBOAT 2,IMO9271535,,51,0,32,8,5,51,A
368504000,2024-01-01T00:01:09,28.88264,-83.19661,5.6,94.5,91,CAPTAIN DANN,IMO7367251,WBH6425,31,0,120,18,6.3,57,A
366902270,2024-01-01T00:00:02,42.24706,-70.69769,7.9,310.5,511,CHARLES JAMES,IMO8980737,WDL3872,31,11,24,8,3.1,31,A
366995210,2024-01-01T00:00:07,28.48629,-96.77684,0,122,143,CAPT CHARLIE LAWRENC,,WDC2578,52,12,21,8,2.5,52,A
366892000,2024-01-01T00:00:13,33.71966,-118.22443,11.3,252.7,255,JAMIE ANN,IMO9905112,WDL5109,52,0,31,12,5.9,52,A
367430730,2024-01-01T00:00:06,29.22755,-91.51121,0,292.7,511,MISS CAROLINE,IMO8987577,WDF2686,31,0,22,9,2.8,0,A
338358775,2024-01-01T00:00:01,21.31334,-157.86716,0,360,15,PB HANAKAHI,,,50,0,11,3,0,50,A
368114530,2024-01-01T00:00:34,47.6216,-122.52108,0,360,511,RIBBET,IMO0000000,WDL2692,36,,12,4,,,B
367614860,2024-01-01T00:00:09,29.65666,-91.25016,6.3,251.1,247,SHERIDAN A,,WDH9115,31,12,211,18,3,57,A
367731170,2024-01-01T00:00:10,47.26173,-122.35792,0.8,100.3,511,PARAGON,IMO0000000,WDI7687,37,,25,5,,,B
368258480,2024-01-01T00:00:58,24.95575,-80.58655,0,129,239,MAKAIRA,IMO0000000,WDN2061,37,,18,6,,,B
368283540,2024-01-01T00:00:05,41.72455,-87.53998,0,80.7,185,INDIANA,IMO1316834,WDN4713,52,0,20,7,3.1,52,A
338307658,2024-01-01T00:01:02,25.31236,-80.27964,0,94.1,511,CHILL,IMO0000000,,37,,15,4,,,B
367787670,2024-01-01T00:00:03,29.75242,-95.09694,1.9,231.7,225,FREEDOM,IMO8974465,WDJ5439,52,0,22,10,2.9,52,A
367340430,2024-01-01T00:00:08,29.75987,-95.12087,0,141.4,19,STEPHANIE KENNELLY,,WDE3527,31,12,27,9,3,31,A
368088590,2024-01-01T00:01:02,38.06566,-122.2647,35,257.7,256,VELA,,WDK7865,65,0,44,12,0,65,A
367521570,2024-01-01T00:00:10,38.14574,-76.50292,0,281.9,47,CORAL,IMO1238515,WDG3015,39,0,54,12,3.1,39,A
368048530,2024-01-01T00:00:10,32.71603,-117.23331,0,360,511,AUGUST BENHARDT,IMO0000000,WDK3768,36,,13,4,,,B
368217060,2024-01-01T00:00:10,29.55091,-94.95168,7.6,282.9,511,LA PALOMA,IMO0000000,WDM5557,36,,13,6,,,B
366903210,2024-01-01T00:00:18,47.63669,-122.3392,0.1,197.4,511,HENRY YOUNG,IMO0000000,WDB4863,37,,18,5,,,B
316026257,2024-01-01T00:00:23,48.66783,-123.40816,0,32.7,511,LYNNE MARIE IV,IMO0000000,,30,,0,0,,,B
338489865,2024-01-01T00:00:23,32.60665,-80.15634,0,360,511,CHRISTINE,IMO0000000,,37,,13,4,,,B
